"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"1741",5435.1987,16,1,698,"ABBA",1998,840,"L","W",220,"S","BSLP",4,4,FALSE,NA,NA,NA,NA,1987,0.0220477488,0.097456359,0.2596288926,0.0220477488,0.097456359,0.2596288926,0.0220477488,0.097456359,0.2596288926,0,2.6,NA,NA,NA,"ALIVE","",13.6333333333333,0,5435,TRUE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.162,0.324]",NA,NA
"1743",5437.1987,16,1,700,"ABBA",NA,840,"L","W",220,"S","BSLP",3,5,FALSE,TRUE,TRUE,TRUE,NA,1987,0,0.0890117382,0.2799864606,0,0.0890117382,0.2799864606,0,0.0890117382,0.2799864606,0,2,NA,NA,NA,"ALIVE","",13.6333333333333,0,5437,FALSE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.162,0.324]",NA,NA
"6462",5437.1998,16,1,700,"ABBA",NA,840,"L","W",220,"S","BSLP",3,5,FALSE,TRUE,TRUE,TRUE,NA,1998,0,0.1148592522,0.3107450808,0,0.1137777564,0.3077330718,0,0.1137777564,0.3077330718,4.7,2.8,0.427272727272727,0.0001577226,0.0727272727272727,"ALIVE","",13.6625,0.0017349486,5437,FALSE,1,2,2,1,2,2,1,2,2,3,1,"[0,0.0307]","(0.103,0.205]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.162,0.324]","(0.388,0.582]","[0,0.000783]"
"6463",5438.1998,16,1,801,"ABBA",NA,840,"L","W",220,"S","BSLP",4,1,FALSE,TRUE,NA,TRUE,NA,1998,0.0114259992,NA,NA,0.0114259992,NA,NA,0,NA,NA,14.8,12.4,0.309090909090909,0.0006360312,NA,"ALIVE","c",13.6625,0.0172034016,5438,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"(0.194,0.388]","[0,0.000783]"
"6464",5439.1998,16,1,802,"ABBA",NA,840,"L","W",220,"S","BSLP",4,1,FALSE,TRUE,NA,TRUE,NA,1998,0.0219817752,NA,NA,0.0219817752,NA,NA,0.0172034016,NA,NA,9.2,9.2,0.118181818181818,0.0001587222,NA,"ALIVE","o",13.6625,0.0066476256,5439,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6465",5440.1998,16,1,803,"ABBA",NA,840,"L","W",220,"S","BSLP",4,5,FALSE,TRUE,NA,TRUE,NA,1998,0.0035256606,0.0395441046,0.2819735226,0.0035256606,0.0356524476,0.277226565,0,0,0,30.4,13.8,0.545454545454545,0.002347632,NA,"ALIVE","",13.6625,0.0725835264,5440,FALSE,1,1,2,1,1,2,1,1,1,3,3,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","[0,0.162]","(0.388,0.582]","(0.00157,0.00235]"
"6467",5442.1998,16,1,805,"ABBA",NA,840,"L","W",220,"S","BSLP",4,1,FALSE,TRUE,NA,TRUE,NA,1998,0.0238510272,NA,NA,0.0238510272,NA,NA,0.0238510272,NA,NA,7.8,7.8,0.0636363636363637,7.44702e-05,NA,"ALIVE","o",13.6625,0.0047783736,5442,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6471",5447.1998,16,1,813,"ABBA",2010,840,"L","W",220,"S","BSLP",1,1,FALSE,TRUE,NA,NA,NA,1998,0,NA,NA,0,NA,NA,0,NA,NA,7.1,5.2,0.0272727272727273,2.97738e-05,NA,"ALIVE","o",13.6625,0.0039592014,5447,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6472",5448.1998,16,1,814,"ABBA",NA,840,"L","W",220,"S","BSLP",3,1,FALSE,TRUE,NA,TRUE,NA,1998,0.0128679936,NA,NA,0.0128679936,NA,NA,0.0128679936,NA,NA,12.5,7.7,0.163636363636364,0.0002981664,NA,"ALIVE","o",13.6625,0.012271875,5448,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6475",5452.1998,16,1,818,"ABBA",NA,840,"L","W",220,"S","BSLP",3,4,FALSE,TRUE,NA,TRUE,NA,1998,0,0.0819156492,0.2227567188,0,0.0801807006,0.2188650618,0,0.0725835264,0.1756845552,18.9,14.2,0.581818181818182,0.0014348544,NA,"ALIVE","d",13.6625,0.0280552734,5452,FALSE,1,1,2,1,1,2,1,1,2,3,2,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.162,0.324]","(0.388,0.582]","(0.000783,0.00157]"
"6476",5453.1998,16,1,819,"ABBA",NA,840,"L","W",220,"S","BSLP",1,2,FALSE,TRUE,NA,TRUE,NA,1998,0,NA,NA,0,NA,NA,0,NA,NA,24.6,13.6,0.536363636363637,0.0018240558,NA,"ALIVE","d",13.6625,0.0475292664,5453,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,3,3,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"(0.388,0.582]","(0.00157,0.00235]"
"6477",5454.1998,16,1,820,"ABBA",NA,840,"L","W",220,"S","BSLP",5,1,FALSE,TRUE,NA,TRUE,NA,1998,0,NA,NA,0,NA,NA,0,NA,NA,7.6,6.7,0.0363636363636363,4.22687999999999e-05,NA,"ALIVE","o",13.6625,0.0045364704,5454,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6478",5456.1998,16,1,822,"ABBA",NA,840,"L","W",220,"S","BSLP",5,3,FALSE,TRUE,NA,TRUE,NA,1998,0,0.0912273516,0.449374464,0,0.0912273516,0.4476395154,0,0.072543471,0.352271535,12.9,9,0.0454545454545455,9.03210000000001e-05,NA,"ALIVE","o",13.6625,0.0130698414,5456,FALSE,1,1,3,1,1,3,1,1,3,1,1,"[0,0.0307]","[0,0.103]","(0.335,0.502]","[0,0.0307]","[0,0.102]","(0.335,0.502]","[0,0.0307]","[0,0.102]","(0.324,0.486]","[0,0.194]","[0,0.000783]"
"6481",5460.1998,16,2,628,"ABBA",2010,840,"L","W",220,"S","BSLP",2,9,FALSE,TRUE,NA,NA,NA,1998,0.0193593246,0.116757564,NA,0.0193593246,0.113046549,NA,0.0193593246,0.113046549,NA,5.8,4.4,0.0454545454545455,3.9627e-05,NA,"ALIVE","o",13.6625,0.0026420856,5460,TRUE,1,2,NA,1,2,NA,1,2,NA,1,1,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.194]","[0,0.000783]"
"6482",5461.1998,16,2,629,"ABBA",NA,840,"L","W",220,"S","BSLP",3,8,FALSE,TRUE,NA,TRUE,TRUE,1998,0.0260155896,0.3075555714,0.409118787,0.0260155896,0.304766616,0.3973330746,0.0260155896,0.2991054528,0.3804956694,7.6,6,0.0545454545454545,6.25464e-05,NA,"ALIVE","o",13.6625,0.0045364704,5461,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0307]","(0.205,0.308]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.324,0.486]","[0,0.194]","[0,0.000783]"
"6483",5462.1998,16,2,630,"ABBA",NA,840,"L","W",220,"S","BSLP",1,9,FALSE,FALSE,NA,TRUE,FALSE,1998,0.0131193216,NA,NA,0.01130976,NA,NA,0.01130976,NA,NA,6.2,7.7,-0.127272727272727,-0.0001379448,NA,"ALIVE","o",13.6625,0.0030190776,5462,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6487",5466.1998,16,2,634,"ABBA",NA,840,"L","W",220,"S","BSLP",1,8,FALSE,TRUE,NA,TRUE,TRUE,1998,0,NA,NA,0,NA,NA,0,NA,NA,7.5,6,0.127272727272727,0.0001359456,NA,"ALIVE","o",13.6625,0.004417875,5466,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6488",5467.1998,16,2,635,"ABBA",2010,840,"L","W",220,"S","BSLP",3,9,FALSE,TRUE,NA,NA,NA,1998,0.0073898286,0.1682782332,NA,0.0073898286,0.1631173698,NA,0.0073898286,0.1604752842,NA,6.2,4.8,0.0454545454545455,4.2483e-05,NA,"ALIVE","o",13.6625,0.0030190776,5467,TRUE,1,2,NA,1,2,NA,1,2,NA,1,1,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.194]","[0,0.000783]"
"6489",5468.1998,16,2,636,"ABBA",NA,840,"L","W",220,"S","BSLP",2,9,FALSE,TRUE,NA,FALSE,NA,1998,0.0026420856,0.100040325,NA,0.0026420856,0.09632931,NA,0,0.0599951352,NA,15.7,15.3,0.227272727272727,0.000515865,NA,"ALIVE","c",13.6625,0.0193593246,5468,FALSE,1,1,NA,1,1,NA,1,1,NA,2,1,"[0,0.0307]","[0,0.103]",NA,"[0,0.0307]","[0,0.102]",NA,"[0,0.0307]","[0,0.102]",NA,"(0.194,0.388]","[0,0.000783]"
"6492",5472.1998,16,2,641,"ABBA",NA,840,"L","W",220,"S","BSLP",4,7,FALSE,TRUE,NA,TRUE,TRUE,1998,0.0359681784,0.1369447002,0.4282417062,0.0359681784,0.1319754744,0.4189025148,0.0359681784,0.1198960224,0.3755437224,15.3,9.8,0.209090909090909,0.0004647426,NA,"ALIVE","o",13.6625,0.0183854286,5472,FALSE,2,2,3,2,2,3,2,2,3,2,1,"(0.0307,0.0614]","(0.103,0.205]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.324,0.486]","(0.194,0.388]","[0,0.000783]"
"6495",5475.1998,16,2,648,"ABBA",NA,840,"L","W",220,"S","BSLP",4,8,FALSE,TRUE,NA,TRUE,TRUE,1998,0.0580661928,0.1763490036,0.388478475,0.0579122544,0.1720960626,0.3785023242,0.0579122544,0.157150686,0.3487113168,9.8,7.6,0.163636363636364,0.0002287656,NA,"ALIVE","o",13.6625,0.0075429816,5475,FALSE,2,2,3,2,2,3,2,2,3,1,1,"(0.0307,0.0614]","(0.103,0.205]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.324,0.486]","[0,0.194]","[0,0.000783]"
"6499",5480.1998,16,2,836,"ABBA",NA,840,"L","W",220,"S","BSLP",5,10,FALSE,TRUE,NA,NA,NA,1998,0,NA,NA,0,NA,NA,0,NA,NA,12.2,7.6,0.145454545454545,0.0002604672,NA,"ALIVE","o",13.6625,0.0116898936,5480,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
"6500",5481.1998,16,2,837,"ABBA",NA,840,"L","W",220,"S","BSLP",3,9,FALSE,TRUE,NA,TRUE,TRUE,1998,0.0030190776,0.1639074822,NA,0.0030190776,0.1587466188,NA,0,0.1448096958,NA,9.7,7.7,0.209090909090909,0.0002808162,NA,"ALIVE","o",13.6625,0.0073898286,5481,FALSE,1,2,NA,1,2,NA,1,2,NA,2,1,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,"(0.194,0.388]","[0,0.000783]"
"6501",5482.1998,16,2,838,"ABBA",NA,840,"L","W",220,"S","BSLP",5,9,FALSE,TRUE,NA,TRUE,FALSE,1998,0,0.0888695808,NA,0,0.0838068924,NA,0,0.0579122544,NA,15.5,12.5,0.236363636363636,0.0005272176,NA,"ALIVE","o",13.6625,0.018869235,5482,FALSE,1,1,NA,1,1,NA,1,1,NA,2,1,"[0,0.0307]","[0,0.103]",NA,"[0,0.0307]","[0,0.102]",NA,"[0,0.0307]","[0,0.102]",NA,"(0.194,0.388]","[0,0.000783]"
"6502",5483.1998,16,2,839,"ABBA",NA,840,"L","W",220,"S","BSLP",2,6,FALSE,TRUE,NA,TRUE,TRUE,1998,0,0.1293483114,NA,0,0.126531867,NA,0,0.126531867,NA,8.4,6,0.145454545454546,0.0001736448,NA,"ALIVE","o",13.6625,0.0055417824,5483,FALSE,1,2,NA,1,2,NA,1,2,NA,1,1,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.194]","[0,0.000783]"
"6503",5487.1998,16,2,98612,"ABBA",NA,840,"L","W",220,"S","BSLP",5,6,FALSE,NA,NA,TRUE,FALSE,1998,0,0.1587827472,0.4216914702,0,0.1579274466,0.4160625084,0,0.1579274466,0.4193179914,3.7,2.8,NA,NA,NA,"ALIVE","",13.6625,0.0010752126,5487,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.324,0.486]",NA,NA
"6504",5488.1998,16,2,98613,"ABBA",NA,840,"L","W",220,"S","BSLP",5,7,FALSE,NA,NA,TRUE,TRUE,1998,0,0.1228412724,0.3568810476,0,0.119808843,0.3495917502,0,0.12240459,0.3559582026,3.3,2.7,NA,NA,NA,"ALIVE","",13.6625,0.0008553006,5488,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.324,0.486]",NA,NA
"6505",5489.1998,16,2,98614,"ABBA",NA,840,"L","W",220,"S","BSLP",5,8,FALSE,NA,NA,TRUE,FALSE,1998,0.000282744,0.1414104846,0.3024434028,0,0.138678078,0.2951823798,0,0.138678078,0.2968442862,4.4,3,NA,NA,NA,"ALIVE","",13.6625,0.0015205344,5489,FALSE,1,2,2,1,2,2,1,2,2,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.162,0.324]",NA,NA
"6506",5490.1998,16,2,98615,"ABBA",NA,840,"L","W",220,"S","BSLP",5,8,FALSE,NA,NA,FALSE,TRUE,1998,0.001775004,0.1429027446,0.3039356628,0,0.138678078,0.2951823798,0.001775004,0.142895676,0.3039254526,0.6,1.3,NA,NA,NA,"ALIVE","",13.6625,2.82744e-05,5490,FALSE,1,2,2,1,2,2,1,2,2,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.162,0.324]",NA,NA
"6507",5491.1998,16,2,98616,"ABBA",NA,840,"L","W",220,"S","BSLP",4,10,FALSE,NA,NA,TRUE,TRUE,1998,0.003742431,NA,NA,0.0037392894,NA,NA,0.0037392894,NA,NA,4.6,4.3,NA,NA,NA,"ALIVE","",13.6625,0.0016619064,5491,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6508",5492.1998,16,2,98617,"ABBA",NA,840,"L","W",220,"S","BSLP",4,10,FALSE,NA,NA,FALSE,TRUE,1998,0.0054043374,NA,NA,0.0037392894,NA,NA,0.0054043374,NA,NA,0,1.1,NA,NA,NA,"ALIVE","",13.6625,0,5492,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6509",5493.1998,16,2,98618,"ABBA",NA,840,"L","W",220,"S","BSLP",4,10,FALSE,NA,NA,TRUE,TRUE,1998,0.0054011958,NA,NA,0.0037392894,NA,NA,0.0054011958,NA,NA,0.2,1.4,NA,NA,NA,"ALIVE","",13.6625,3.1416e-06,5493,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6510",5494.1998,16,2,98619,"ABBA",NA,840,"L","W",220,"S","BSLP",4,10,FALSE,NA,NA,FALSE,FALSE,1998,0.0054043374,NA,NA,0.0037392894,NA,NA,0.0054043374,NA,NA,0,1.1,NA,NA,NA,"ALIVE","",13.6625,0,5494,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6511",5495.1998,16,2,98620,"ABBA",NA,840,"L","W",220,"S","BSLP",4,10,FALSE,NA,NA,FALSE,TRUE,1998,0.0054043374,NA,NA,0.0037392894,NA,NA,0.0054043374,NA,NA,0,1.3,NA,NA,NA,"ALIVE","",13.6625,0,5495,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"6512",5496.1998,16,2,98621,"ABBA",2010,840,"L","W",220,"S","BSLP",4,9,FALSE,NA,NA,NA,NA,1998,0.001024947,0.1800482376,NA,0,0.1746941658,NA,0.0010178784,0.179601345,NA,2.3,2.6,NA,NA,NA,"ALIVE","",13.6625,0.0004154766,5496,TRUE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"6513",5497.1998,16,2,98622,"ABBA",NA,840,"L","W",220,"S","BSLP",4,9,FALSE,NA,NA,FALSE,FALSE,1998,0.001433355,0.1804566456,NA,0,0.1746941658,NA,0.001433355,0.180453504,NA,0.3,1.4,NA,NA,NA,"ALIVE","",13.6625,7.0686e-06,5497,FALSE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"6514",5498.1998,16,2,98623,"ABBA",2010,840,"L","W",220,"S","BSLP",4,9,FALSE,NA,NA,NA,NA,1998,0.0014404236,0.1804637142,NA,0,0.1746941658,NA,0.0014404236,0.1804637142,NA,0,1.2,NA,NA,NA,"ALIVE","",13.6625,0,5498,TRUE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"6515",5499.1998,16,2,98624,"ABBA",NA,840,"L","W",220,"S","BSLP",4,9,FALSE,NA,NA,TRUE,TRUE,1998,0.0004225452,0.1794458358,NA,0,0.1746941658,NA,0,0.1778766066,NA,3.6,3.4,NA,NA,NA,"ALIVE","",13.6625,0.0010178784,5499,FALSE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"6516",5500.1998,16,2,98625,"ABBA",NA,840,"L","W",220,"S","BSLP",4,7,FALSE,NA,NA,FALSE,FALSE,1998,0.054353607,0.1553301288,0.4466271348,0.054353607,0.150360903,0.4372879434,0.054353607,0.1553301288,0.4466271348,0,1.3,NA,NA,NA,"ALIVE","",13.6625,0,5500,FALSE,2,2,3,2,2,3,2,2,3,NA,NA,"(0.0307,0.0614]","(0.103,0.205]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.335,0.502]","(0.0307,0.0614]","(0.102,0.204]","(0.324,0.486]",NA,NA
"6518",5502.1998,16,2,98636,"ABBA",2010,840,"L","W",220,"S","BSLP",4,8,FALSE,NA,NA,NA,NA,1998,0.065455236,0.1837380468,0.3958675182,0.065455236,0.1796390442,0.3860453058,0.065455236,0.1837027038,0.3957654162,1.4,1.8,NA,NA,NA,"ALIVE","",13.6625,0.0001539384,5502,TRUE,3,2,3,3,2,3,3,2,3,NA,NA,"(0.0614,0.0921]","(0.103,0.205]","(0.335,0.502]","(0.0614,0.0921]","(0.102,0.204]","(0.335,0.502]","(0.0614,0.0921]","(0.102,0.204]","(0.324,0.486]",NA,NA
"6519",5503.1998,16,2,98637,"ABBA",NA,840,"L","W",220,"S","BSLP",4,8,FALSE,NA,NA,TRUE,TRUE,1998,0.0656091744,0.1838919852,0.3960214566,0.065455236,0.1796390442,0.3860453058,0.0656091744,0.1838919852,0.3960214566,0,1.3,NA,NA,NA,"ALIVE","",13.6625,0,5503,FALSE,3,2,3,3,2,3,3,2,3,NA,NA,"(0.0614,0.0921]","(0.103,0.205]","(0.335,0.502]","(0.0614,0.0921]","(0.102,0.204]","(0.335,0.502]","(0.0614,0.0921]","(0.102,0.204]","(0.324,0.486]",NA,NA
"6520",5504.1998,16,2,98638,"ABBA",NA,840,"L","W",220,"S","BSLP",3,6,FALSE,NA,NA,TRUE,TRUE,1998,0.0010178784,0.2652892704,0.4029235518,0,0.2625364434,0.3950884014,0.0010178784,0.2652892704,0.4028952774,0.9,1.4,NA,NA,NA,"ALIVE","",13.6625,6.36174e-05,5504,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0307]","(0.205,0.308]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.324,0.486]",NA,NA
"6521",5505.1998,16,2,98639,"ABBA",2010,840,"L","W",220,"S","BSLP",3,6,FALSE,NA,NA,NA,NA,1998,6.36174e-05,0.2643350094,0.4019692908,0,0.2625364434,0.3950884014,0,0.264271392,0.4006136904,3.6,3.6,NA,NA,NA,"ALIVE","",13.6625,0.0010178784,5505,TRUE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0307]","(0.205,0.308]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.335,0.502]","[0,0.0307]","(0.204,0.306]","(0.324,0.486]",NA,NA
"6522",5506.1998,16,2,98640,"ABBA",2010,840,"L","W",220,"S","BSLP",3,10,FALSE,NA,NA,NA,NA,1998,0.0339795456,NA,NA,0.0339795456,NA,NA,0.0339795456,NA,NA,3,2.3,NA,NA,NA,"ALIVE","",13.6625,0.00070686,5506,TRUE,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,"(0.0307,0.0614]",NA,NA,"(0.0307,0.0614]",NA,NA,"(0.0307,0.0614]",NA,NA,NA,NA
"6523",5507.1998,16,2,98641,"ABBA",NA,840,"L","W",220,"S","BSLP",2,8,FALSE,NA,NA,TRUE,FALSE,1998,0,0.2100505176,NA,0,0.208240956,NA,0,0.2100505176,NA,3.9,4.3,NA,NA,NA,"ALIVE","",13.6625,0.0011945934,5507,FALSE,1,3,NA,1,3,NA,1,3,NA,NA,NA,"[0,0.0307]","(0.205,0.308]",NA,"[0,0.0307]","(0.204,0.306]",NA,"[0,0.0307]","(0.204,0.306]",NA,NA,NA
"6524",5508.1998,16,2,98683,"ABBA",NA,840,"L","W",220,"S","BSLP",5,8,FALSE,NA,NA,TRUE,TRUE,1998,0.0015488088,0.1426765494,0.3037094676,0,0.138678078,0.2951823798,0.0015205344,0.142487268,0.3034534272,1.8,2,NA,NA,NA,"ALIVE","",13.6625,0.0002544696,5508,FALSE,1,2,2,1,2,2,1,2,2,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.162,0.324]",NA,NA
"6525",5536.1998,16,3,610,"ABBA",NA,840,"L","W",220,"S","BSLP",7,6,FALSE,TRUE,NA,TRUE,NA,1998,0.0024630144,0.1058766324,0.2177867076,0.0024630144,0.1058766324,0.214052916,0,0.0633472224,0.0633472224,27.2,15.2,0.436363636363636,0.0016998912,NA,"ALIVE","d",13.6625,0.0581070336,5536,FALSE,1,2,2,1,2,2,1,1,1,3,3,"[0,0.0307]","(0.103,0.205]","(0.167,0.335]","[0,0.0307]","(0.102,0.204]","(0.167,0.335]","[0,0.0307]","[0,0.102]","[0,0.162]","(0.388,0.582]","(0.00157,0.00235]"
"6526",5538.1998,16,3,618,"ABBA",NA,840,"L","W",220,"S","BSLP",8,7,FALSE,TRUE,NA,TRUE,NA,1998,0,0.068502588,0.3007320162,0,0.068502588,0.2995978986,0,0.0581070336,0.2702231532,9.3,4.6,0.209090909090909,0.0002676786,NA,"ALIVE","o",13.6625,0.0067929246,5538,FALSE,1,1,2,1,1,2,1,1,2,2,1,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.162,0.324]","(0.194,0.388]","[0,0.000783]"
"6531",5543.1998,16,3,701,"ABBA",NA,840,"L","W",220,"S","BSLP",10,6,FALSE,TRUE,NA,TRUE,NA,1998,0,NA,NA,0,NA,NA,0,NA,NA,7.6,6.3,0.154545454545454,0.000163863,NA,"ALIVE","o",13.6625,0.0045364704,5543,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.194]","[0,0.000783]"
