"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"12059",5257.201,15,2,993345,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,6,FALSE,NA,NA,NA,NA,2010,0.02835294,NA,NA,0.02835294,NA,NA,0.02835294,NA,NA,0,1.05,NA,NA,NA,"ALIVE","",10.196,0,5257,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,NA,NA
"1732",5426.1987,16,1,687,"ABBA",1998,840,"L","W",220,"S","BSLP",5,1,FALSE,NA,NA,NA,NA,1987,0.0183854286,NA,NA,0.0183854286,NA,NA,0.0183854286,NA,NA,0,4.32,NA,NA,NA,"ALIVE","",13.6333333333333,0,5426,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"1733",5427.1987,16,1,688,"ABBA",1998,840,"L","W",220,"S","BSLP",4,1,FALSE,NA,NA,NA,NA,1987,0.0190679412,NA,NA,0.0190679412,NA,NA,0.0190679412,NA,NA,0,3.38,NA,NA,NA,"ALIVE","",13.6333333333333,0,5427,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"1734",5428.1987,16,1,689,"ABBA",1998,840,"L","W",220,"S","BSLP",4,1,FALSE,NA,NA,NA,NA,1987,0.0190679412,NA,NA,0.0190679412,NA,NA,0.0190679412,NA,NA,0,3.09,NA,NA,NA,"ALIVE","",13.6333333333333,0,5428,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"1735",5429.1987,16,1,690,"ABBA",1998,840,"L","W",220,"S","BSLP",3,1,FALSE,NA,NA,NA,NA,1987,0.017486931,NA,NA,0.017486931,NA,NA,0.017486931,NA,NA,0,2.59,NA,NA,NA,"ALIVE","",13.6333333333333,0,5429,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,"[0,0.0307]",NA,NA,NA,NA
"1736",5430.1987,16,1,691,"ABBA",1998,840,"L","W",220,"S","BSLP",3,2,FALSE,NA,NA,NA,NA,1987,0,0.0566611122,NA,0,0.0566611122,NA,0,0.0566611122,NA,0,2.4,NA,NA,NA,"ALIVE","",13.6333333333333,0,5430,TRUE,1,1,NA,1,1,NA,1,1,NA,NA,NA,"[0,0.0307]","[0,0.103]",NA,"[0,0.0307]","[0,0.102]",NA,"[0,0.0307]","[0,0.102]",NA,NA,NA
"1737",5431.1987,16,1,693,"ABBA",1998,840,"L","W",220,"S","BSLP",4,2,FALSE,NA,NA,NA,NA,1987,0,0.1378541934,NA,0,0.1378541934,NA,0,0.1378541934,NA,0,2.65,NA,NA,NA,"ALIVE","",13.6333333333333,0,5431,TRUE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"1738",5432.1987,16,1,695,"ABBA",1998,840,"L","W",220,"S","BSLP",4,2,FALSE,NA,NA,NA,NA,1987,0,0.1378541934,NA,0,0.1378541934,NA,0,0.1378541934,NA,0,3.29,NA,NA,NA,"ALIVE","",13.6333333333333,0,5432,TRUE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0307]","(0.103,0.205]",NA,"[0,0.0307]","(0.102,0.204]",NA,"[0,0.0307]","(0.102,0.204]",NA,NA,NA
"1739",5433.1987,16,1,696,"ABBA",1998,840,"L","W",220,"S","BSLP",4,3,FALSE,NA,NA,NA,NA,1987,0,0.1172335164,0.3381406182,0,0.1172335164,0.3381406182,0,0.1172335164,0.3381406182,0,1.45,NA,NA,NA,"ALIVE","",13.6333333333333,0,5433,TRUE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0307]","(0.103,0.205]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.335,0.502]","[0,0.0307]","(0.102,0.204]","(0.324,0.486]",NA,NA
"1740",5434.1987,16,1,697,"ABBA",1998,840,"L","W",220,"S","BSLP",4,4,FALSE,NA,NA,NA,NA,1987,0.0220477488,0.097456359,0.2596288926,0.0220477488,0.097456359,0.2596288926,0.0220477488,0.097456359,0.2596288926,0,1,NA,NA,NA,"ALIVE","",13.6333333333333,0,5434,TRUE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0307]","[0,0.103]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.167,0.335]","[0,0.0307]","[0,0.102]","(0.162,0.324]",NA,NA
