"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
5,1,776,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,1986,8.7,7.35,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0059446926,NA,NA,NA,315,FALSE
5,1,777,"BECO",NA,840,"L","E",180,"S","FSLP",4,4,FALSE,1986,12.2,12.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0116898936,NA,NA,NA,316,FALSE
5,1,778,"ABBA","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,13.5,8.97,NA,NA,NA,"DEAD",NA,15.261481190625,0.014313915,NA,NA,NA,317,TRUE
5,1,779,"BECO",NA,840,"L","E",180,"S","FSLP",5,1,FALSE,1986,24.2,14.2,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0459961656,NA,NA,NA,318,FALSE
5,1,780,"ABBA",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,1986,12,7.73,NA,NA,NA,"ALIVE",NA,15.261481190625,0.01130976,NA,NA,NA,319,FALSE
5,1,781,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,1986,9.2,7.62,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0066476256,NA,NA,NA,320,FALSE
5,1,797,"ABBA","1998",840,"L","E",180,"S","FSLP",5,5,FALSE,1986,11.2,7.78,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0098520576,NA,NA,NA,321,TRUE
5,1,798,"PIRU","1988",840,"L","E",180,"S","FSLP",1,5,FALSE,1986,5.4,3.53,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0022902264,NA,NA,NA,322,TRUE
5,1,799,"BECO",NA,840,"L","E",180,"S","FSLP",5,4,FALSE,1986,30,16,NA,NA,NA,"ALIVE",NA,15.261481190625,0.070686,NA,NA,NA,323,FALSE
5,2,527,"PIRU","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,15.2,NA,NA,NA,NA,"DEAD",NA,15.261481190625,0.0181458816,NA,NA,NA,397,TRUE
5,2,713,"PIRU",NA,840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,7.9,NA,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0049016814,NA,NA,NA,398,FALSE
5,2,725,"PIRU",NA,840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,9.9,NA,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0076977054,NA,NA,NA,399,FALSE
5,2,726,"PIRU",NA,840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,21.2,NA,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0352990176,NA,NA,NA,400,FALSE
5,2,728,"ABBA",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,1986,8.9,4.38,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,NA,NA,NA,401,FALSE
