"","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort"
"264.1986",5,1,776,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0156396702,0.1174275102,NA,0.0156396702,0.1174275102,NA,0.0156396702,0.1174275102,NA,8.7,7.35,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0059446926,264,FALSE
"265.1986",5,1,777,"BECO",NA,840,"L","E",180,"S","FSLP",4,4,FALSE,TRUE,FALSE,FALSE,FALSE,1986,0,0.1051210776,0.486429636,0,0.1051210776,0.486429636,0,0.070686,0.4153258032,12.2,12.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0116898936,265,FALSE
"266.1986",5,1,778,"ABBA","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,8.97,NA,NA,NA,"DEAD",NA,15.261481190625,0.014313915,266,TRUE
"267.1986",5,1,779,"BECO",NA,840,"L","E",180,"S","FSLP",5,1,FALSE,TRUE,TRUE,FALSE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,24.2,14.2,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0459961656,267,FALSE
"268.1986",5,1,780,"ABBA",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0084948864,0.1281937734,0.3373049526,0.0084948864,0.1281937734,0.3373049526,0,0.1134777336,0.2688589134,12,7.73,NA,NA,NA,"ALIVE",NA,15.261481190625,0.01130976,268,FALSE
"269.1986",5,1,781,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.0149367372,0.1167245772,NA,0.0149367372,0.1167245772,NA,0.0089920446,0.1107798846,NA,9.2,7.62,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0066476256,269,FALSE
"270.1986",5,1,797,"ABBA","1998",840,"L","E",180,"S","FSLP",5,5,FALSE,NA,NA,NA,NA,1986,0,0.185727465,0.2345659932,0,0.185727465,0.2345659932,0,0.1809490914,0.2076526914,11.2,7.78,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0098520576,270,TRUE
"271.1986",5,1,798,"PIRU","1988",840,"L","E",180,"S","FSLP",1,5,FALSE,NA,NA,NA,NA,1986,0,NA,NA,0,NA,NA,0,NA,NA,5.4,3.53,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0022902264,271,TRUE
"272.1986",5,1,799,"BECO",NA,840,"L","E",180,"S","FSLP",5,4,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.0047783736,0.0680611932,0.3194245362,0.0047783736,0.0680611932,0.3194245362,0,0,0.116415915,30,16,NA,NA,NA,"ALIVE",NA,15.261481190625,0.070686,272,FALSE
"329.1986",5,2,728,"ABBA",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0180359256,0.020769903,0.2692869564,0.0180359256,0.020769903,0.2692869564,0.01539384,0.01539384,0.25391982,8.9,4.38,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,329,FALSE
"330.1986",5,2,733,"BECO","2010",840,"L","E",180,"S","FSLP",5,8,FALSE,TRUE,TRUE,NA,NA,1986,0.007088235,0.1283508534,0.2841019566,0.007088235,0.1283508534,0.2841019566,0,0.1136269596,0.2485791,13.2,11.4,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0136848096,330,TRUE
"331.1986",5,2,734,"BECO",NA,840,"L","E",180,"S","FSLP",5,8,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.0136848096,0.134947428,0.2906985312,0.0136848096,0.134947428,0.2906985312,0.0136848096,0.1273117692,0.2622639096,9.5,11.4,NA,NA,NA,"ALIVE",NA,15.261481190625,0.007088235,331,FALSE
"332.1986",5,2,746,"BECO",NA,840,"L","E",180,"S","FSLP",5,6,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.0329443884,0.2862303906,0,0.0329443884,0.2862303906,0,0,0.1447091646,26.9,13.5,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0568323294,332,FALSE
"333.1986",5,2,752,"BECO",NA,840,"L","E",180,"S","FSLP",1,8,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,21.5,11.8,NA,NA,NA,"ALIVE",NA,15.261481190625,0.036305115,333,FALSE
"334.1986",5,2,753,"ABBA",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0216149934,0.0243489708,0.2728660242,0.0216149934,0.0243489708,0.2728660242,0.0216149934,0.0243489708,0.2705757978,5.8,4.7,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0026420856,334,FALSE
"335.1986",5,2,756,"BECO",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.008863239,0.0115972164,0.2601142698,0.008863239,0.0115972164,0.2601142698,0,0,0.1638234444,14,10.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.01539384,335,FALSE
"336.1986",5,2,757,"ABBA",NA,840,"L","E",180,"S","FSLP",1,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,6.1,4.52,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0029224734,336,FALSE
"337.1986",5,2,760,"PIRU","1986",840,"L","E",180,"S","FSLP",1,6,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,8.89,NA,NA,NA,"DEAD",NA,15.261481190625,0.0128679936,337,TRUE
"338.1986",5,2,766,"PIRU",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,TRUE,FALSE,TRUE,TRUE,1986,0.039603795,0.1649866218,NA,0.039603795,0.1649866218,NA,0.039603795,0.1621591818,NA,7.9,7.01,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0049016814,338,FALSE
"339.1986",5,2,771,"UNID","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.16,NA,NA,NA,"DEAD",NA,15.261481190625,0.0022902264,339,TRUE
"340.1986",5,2,773,"ABBA","1986",840,"L","E",180,"S","FSLP",2,10,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,9.62,NA,NA,NA,"DEAD",NA,15.261481190625,0.043373715,340,TRUE
"341.1986",5,2,783,"ABBA",NA,840,"L","E",180,"S","FSLP",4,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.101862453,0.250601505,0,0.101862453,0.250601505,0,0.0992203674,0.2479594194,5.9,4.19,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0027339774,341,FALSE
