"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
40,1,91,"40.1",142.857142857143,157.142857142857,26.51076186,25.26243588,1016.7483723,895.008079157143
40,1,97,"40.1",71.4285714285714,142.857142857143,28.3225338,26.51076186,1109.84532965714,1016.7483723
40,29,73,"40.29",557.142857142857,NA,38.48324238,NA,1226.533426,NA
40,29,76,"40.29",557.142857142857,557.142857142857,40.9172643,38.48324238,1341.37052862857,1226.533426
40,29,79,"40.29",514.285714285714,557.142857142857,41.48736372,40.9172643,1393.3664134,1341.37052862857
40,29,82,"40.29",514.285714285714,514.285714285714,43.51130586,41.48736372,1492.53892307143,1393.3664134
40,29,85,"40.29",514.285714285714,514.285714285714,45.75765084,43.51130586,1604.98047988571,1492.53892307143
40,29,91,"40.29",485.714285714286,514.285714285714,47.80955322,45.75765084,1759.70244714286,1604.98047988571
40,29,97,"40.29",342.857142857143,485.714285714286,51.29423838,47.80955322,2007.99259207143,1759.70244714286
51,1,73,"51.1",1140,NA,33.9866142,NA,649.01038592,NA
51,1,76,"51.1",1080,1140,39.241270068,33.9866142,802.4942849,649.01038592
51,1,79,"51.1",960,1080,41.625053316,39.241270068,898.7280415,802.4942849
51,1,82,"51.1",860,960,45.354163932,41.625053316,1020.9184254,898.7280415
51,1,85,"51.1",860,860,49.51491468,45.354163932,1160.95323056,1020.9184254
51,1,91,"51.1",820,860,57.061996068,49.51491468,1450.72633254,1160.95323056
51,1,97,"51.1",620,820,62.540789388,57.061996068,1679.96583166,1450.72633254
51,3,73,"51.3",720,NA,22.587334308,NA,424.11415594,NA
51,3,76,"51.3",680,720,26.143012896,22.587334308,531.85168546,424.11415594
51,3,79,"51.3",560,680,26.912312196,26.143012896,591.40712776,531.85168546
51,3,82,"51.3",500,560,29.291273088,26.912312196,682.07322232,591.40712776
51,3,85,"51.3",500,500,32.47456212,29.291273088,799.10481018,682.07322232
51,3,91,"51.3",440,500,39.441342864,32.47456212,1108.08368498,799.10481018
51,3,97,"51.3",320,440,45.991248996,39.441342864,1358.0422477,1108.08368498
52,4,73,"52.4",1700,NA,32.560704792,NA,477.89177822,NA
52,4,76,"52.4",1660,1700,38.04901716,32.560704792,604.01162618,477.89177822
52,4,79,"52.4",1520,1660,41.308081584,38.04901716,702.3708909,604.01162618
52,4,82,"52.4",1400,1520,43.841954772,41.308081584,767.15717314,702.3708909
52,4,85,"52.4",1260,1400,44.574795804,43.841954772,814.32687654,767.15717314
52,4,91,"52.4",1140,1260,49.237605648,44.574795804,1000.85441636,814.32687654
52,4,97,"52.4",940,1140,52.692862992,49.237605648,1115.15441392,1000.85441636
52,5,73,"52.5",1720,NA,27.278418552,NA,359.70861986,NA
