"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
315,180,1,16,"FD",120,5,124,0.831535702760512,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",123,5,127,2.33283767638344,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",126,5,130,0,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",129,5,133,1.09222105362814,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",133,5,137,0.747243204333159,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",134,5,138,1.05095866097833,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",135,5,139,0.940905441768021,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",138,5,142,1.17195528875912,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",140,5,144,0.577497825345583,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",141,5,145,0,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",144,5,148,0.804157699688917,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",145,5,149,0.679980992628746,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",149,5,153,0.415457836010633,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",150,5,154,0.896191113065179,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",154,5,158,0.131582863323096,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",155,5,159,1.04526434935896,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",159,5,163,0,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",160,5,164,1.28732860013084,"bs",0.0522172097682969,2,2,3,1,Inf
