"model","alpha","beta","C","D","PG","sd","sizeX0","sizeXb","mspec","msr","b","mdep.var","mind.var"
"simplest",0.603170677911577,0.748196118482099,3.67130163401922,NA,0.541383727375403,0.229093081142857,NA,NA,"FD","3",NA,"rgr","priorba"
"simplest",0.69410736399167,0.911130727889557,4.59824880644092,NA,0.5945496536552,0.21993699079184,NA,NA,"FD","4",NA,"rgr","priorba"
"simplest",0.708141364346754,0.85474482515207,3.92796155936614,NA,0.656508591983795,0.215036322295442,NA,NA,"FD","5",NA,"rgr","priorba"
"simplest",0.748016707983145,0.831532942861832,3.57766080399143,NA,0.678858780414355,0.210159458370144,NA,NA,"FD","6",NA,"rgr","priorba"
"simplest",0.603170677911577,0.748196118482099,3.67130163401922,NA,0.541383727375403,0.229093081142857,NA,NA,"FD","3",NA,"rgrplot","priorba"
"simplest",0.69410736399167,0.911130727889557,4.59824880644092,NA,0.5945496536552,0.21993699079184,NA,NA,"FD","4",NA,"rgrplot","priorba"
"simplest",0.708141364346754,0.85474482515207,3.92796155936614,NA,0.656508591983795,0.215036322295442,NA,NA,"FD","5",NA,"rgrplot","priorba"
"simplest",0.852800892664273,1.1762664648668,3.2296998762003,NA,0.960439335365067,0.296223349902377,NA,NA,"FD","6",NA,"rgrplot","priorba"
"simplest",0.603170677911577,0.748196118482099,3.67130163401922,NA,0.541383727375403,0.229093081142857,NA,NA,"FD","3",NA,"rgrsisdp","priorbv"
"simplest",0.69410736399167,0.911130727889557,4.59824880644092,NA,0.5945496536552,0.21993699079184,NA,NA,"FD","4",NA,"rgrsisdp","priorbv"
"simplest",0.708141364346754,0.85474482515207,3.92796155936614,NA,0.656508591983795,0.215036322295442,NA,NA,"FD","5",NA,"rgrsisdp","priorbv"
"simplest",0.482905064189978,0.887317364671401,0.298976669594173,NA,1.00650392218733,0.291942023531429,NA,NA,"FD","6",NA,"rgrsisdp","priorbv"
