"pplot","splot","tag","spec","yrmort","stat86","stat87","stat98","stat10","dbh86","decm86","dbh87","cpos87","decm87","dbh98","decm98","cpos98","dbh10","decm10","cpos10","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","bv86","bv87","bv98","bv10","ht86","ht87","ht98","ht10","ba86","ba87","ba98","ba10","dbhgrowth98","dbhgrowth10","htgrowth98","htgrowth10","priordbh86","priordbh87","priordbh98","priordbh10","priorba86","priorba87","priorba98","priorba10","priorbv86","priorbv87","priorbv98","priorbv10","priorht86","priorht87","priorht98","priorht10","bvgrowth98","bvgrowth10"
1,2,143,"ABBA",NA,"ALIVE","","","",9,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,8,NA,NA,NA,NA,NA,NA,NA,NA,0.00636174,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,0.00636174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,153,"PRPE",NA,"ALIVE","","","",12.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,7,NA,NA,NA,NA,NA,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,304,"ABBA",NA,"ALIVE","","","",7.3,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,7,NA,NA,NA,NA,NA,NA,NA,NA,0.0041853966,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,0.0041853966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,306,"ABBA",NA,"ALIVE","","","",8.2,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0052810296,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,0.0052810296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,308,"BECO",NA,"ALIVE","","","",15.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0193593246,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,NA,NA,NA,0.0193593246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,309,"BECO",NA,"ALIVE","","","",12.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,313,"BECO",NA,"ALIVE","","","",10.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0084948864,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,0.0084948864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,316,"ABBA",NA,"ALIVE","","","",6.6,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,10,NA,NA,NA,NA,NA,NA,NA,NA,0.0034212024,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,0.0034212024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,319,"BECO",NA,"ALIVE","","","",16.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0203583534,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,NA,NA,NA,0.0203583534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,328,"ABBA",NA,"ALIVE","","","",21.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,10,NA,NA,NA,NA,NA,NA,NA,NA,0.0369837006,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,0.0369837006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,332,"UNID",NA,"ALIVE","","","",9.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0073898286,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,0.0073898286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,333,"ABBA",NA,"ALIVE","","","",10,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,7,NA,NA,NA,NA,NA,NA,NA,NA,0.007854,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0.007854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,347,"ABBA",NA,"ALIVE","","","",9.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,384,"BECO",NA,"ALIVE","","","",5.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,8,NA,NA,NA,NA,NA,NA,NA,NA,0.002375835,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,0.002375835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,385,"ABBA",NA,"ALIVE","","","",15.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,10,NA,NA,NA,NA,NA,NA,NA,NA,0.0186265464,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA,0.0186265464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,386,"ABBA",NA,"ALIVE","","","",7.2,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0040715136,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,0.0040715136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,388,"PIRU",NA,"ALIVE","","","",9.9,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0076977054,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,0.0076977054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,389,"ABBA",NA,"ALIVE","","","",13,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,9,NA,NA,NA,NA,NA,NA,NA,NA,0.01327326,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,0.01327326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
