"pplot","time","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
65.5,91,1500,1920,2.9580158916,2.5533998028,56.774809431,45.90638172
65.5,97,1360,1500,3.160787322,2.8770097356,63.780552274,55.764692384
65.6,73,2660,NA,1.746800286,NA,22.340554372,NA
65.6,76,2540,2660,1.9900488762,1.7328547236,27.521911145,22.271057883
65.6,79,2360,2540,2.2078450086,1.9630114812,32.66513016,27.359005495
65.6,82,2260,2360,2.3938457928,2.1907389966,36.919426397,32.551453966
65.6,85,2140,2260,2.5315751076,2.366131383,40.764643749,36.697999531
65.6,91,1660,2140,2.7130276404,2.3368893702,47.95797514,38.494790843
65.6,97,1580,1660,2.9686360704,2.698033569,55.315313065,48.222189578
70.1,73,1260,NA,0.9210668544,NA,9.184788513,NA
70.1,76,1260,1260,1.4863490796,0.9210668544,18.583411322,9.184788513
70.1,79,1260,1260,1.9345980654,1.4863490796,27.452048208,18.583411322
70.1,82,1200,1260,2.2254795948,1.9243855092,33.792865504,27.38836481
70.1,85,1200,1200,2.4182803722,2.2254795948,39.071515224,33.792865504
70.1,91,1040,1200,2.8313607168,2.297522766,53.959766029,37.816328998
70.1,97,1000,1040,3.056446932,2.803752336,61.575344311,53.651078784
70.8,73,1580,NA,0.9611638806,NA,9.157622612,NA
70.8,76,1580,1580,1.4481566484,0.9611638806,16.384902159,9.157622612
70.8,79,1520,1580,1.7883495168,1.4391426126,23.009981477,16.337820804
70.8,82,1520,1520,2.0336212974,1.7883495168,28.335490151,23.009981477
70.8,85,1400,1520,2.2147800906,2.0077737834,33.018867134,28.152098062
70.8,91,1200,1400,2.638716234,2.0889645084,47.551421307,31.70672944
70.8,97,1060,1200,2.7971384826,2.5468927638,54.399699185,46.639635813
71.11,73,2280,NA,1.42907457,NA,19.196355763,NA
71.11,76,2160,2280,1.7096775696,1.404738951,24.757992265,19.018599311
71.11,79,2100,2160,1.9109316072,1.6901894394,28.74350854,24.568905693
71.11,82,2100,2100,2.0574361962,1.9032339018,31.916263115,28.666178994
71.11,85,1960,2100,2.1690281844,2.0206983258,34.80674848,31.609417959
71.11,91,1820,1960,2.2640592282,2.1145905396,37.599662754,34.188541124
71.11,97,1680,1820,2.685847310454,2.1697122678,48.767326356,36.48882182
71.14,73,2700,NA,1.3460994162,NA,15.66792208,NA
71.14,76,2680,2700,1.692725496,1.3416815412,21.320390088,15.63486214
71.14,79,2580,2680,1.899878673,1.6678259598,25.019974803,21.102045203
71.14,82,2500,2580,2.070919158,1.8882241224,28.476972794,24.954263356
71.14,85,2440,2500,2.1932789802,2.0431497702,31.218303937,28.16269138
71.14,91,2280,2440,2.278826319,2.1202925436,33.639572163,30.407398625
71.14,97,1920,2280,2.6948911836,2.182764045,44.050140848,32.779345286
72.14,73,660,NA,2.977439619,NA,108.692443676,NA
72.14,76,600,660,3.0785818602,2.8869034194,115.956424314,106.421675536
72.14,79,580,600,3.2548099122,3.0589751346,124.393267034,115.549071917
72.14,82,520,580,3.3466710816,3.1433859996,133.968046298,121.410698623
72.14,85,460,520,3.4675834116,3.215576826,144.150893852,130.216389106
72.14,91,440,460,3.585107526,3.4103277516,153.176498679,142.456098235
72.14,97,400,440,4.3128183252,3.494185695,206.792908297,150.51855369
72.2,73,460,NA,2.596245729,NA,97.357003056,NA
72.2,76,460,460,2.7322330266,2.596245729,102.1032341,97.357003056
72.2,79,460,460,2.9051859606,2.7322330266,111.490990092,102.1032341
72.2,82,440,460,3.0640276128,2.8675173912,120.590119687,110.21831127
72.2,85,400,440,3.1832097066,2.9893792698,131.133867535,118.799937569
72.2,91,400,400,3.3676035624,3.1832097066,141.212722512,131.133867535
72.2,97,320,400,3.8373717228,3.171025011,177.173086686,135.380999169
